Lat, Lon
6.973915, 93.720516
6.976418, 93.719702
6.983356, 93.720390
6.985853, 93.720217
6.990509, 93.715961
6.993010, 93.714983
6.991837, 93.717611
6.990316, 93.721546
6.992130, 93.721865
6.994139, 93.719738
6.997484, 93.714643
7.000818, 93.710707
6.999191, 93.705433
6.997080, 93.698355
6.996948, 93.693764
6.998924, 93.693274
7.002573, 93.694269
7.006227, 93.694092
7.007545, 93.693777
7.011206, 93.692299
7.016214, 93.685879
7.020075, 93.677998
7.020613, 93.670742
7.017815, 93.667946
7.012356, 93.666294
7.006903, 93.663185
7.004925, 93.659708
7.006763, 93.656109
7.009769, 93.653793
7.013235, 93.655125
7.017021, 93.659908
7.020823, 93.662363
7.023973, 93.662207
7.025955, 93.661217
7.029119, 93.659578
7.033342, 93.659246
7.037495, 93.659740
7.038971, 93.659252
7.044302, 93.655966
7.048462, 93.654819
7.056093, 93.654171
7.064526, 93.655983
7.068342, 93.655493
7.069351, 93.653852
7.072025, 93.650404
7.076654, 93.650908
7.078485, 93.652210
7.082104, 93.654520
7.085413, 93.655672
7.087757, 93.654865
7.089081, 93.653376
7.088938, 93.650421
7.089611, 93.647940
7.092932, 93.646456
7.097073, 93.644997
7.100569, 93.645313
7.104376, 93.646311
7.106684, 93.648109
7.108162, 93.652079
7.111458, 93.655197
7.113083, 93.660635
7.112564, 93.664423
7.114555, 93.665413
7.118374, 93.664921
7.121696, 93.663279
7.121027, 93.661324
7.118225, 93.659241
7.119164, 93.655649
7.116301, 93.649771
7.117630, 93.647316
7.122276, 93.645014
7.127098, 93.643379
7.131569, 93.643877
7.133707, 93.647331
7.135681, 93.651772
7.137825, 93.654072
7.143806, 93.652771
7.144449, 93.655571
7.144926, 93.659700
7.152534, 93.663315
7.153765, 93.662800
7.155102, 93.662952
7.157583, 93.662304
7.162245, 93.661156
7.166885, 93.659678
7.174025, 93.658695
7.180336, 93.659033
7.182476, 93.661991
7.183609, 93.666618
7.186577, 93.667931
7.190229, 93.668768
7.192528, 93.671885
7.190992, 93.678308
7.190464, 93.683250
7.191591, 93.688686
7.191883, 93.697077
7.190338, 93.704977
7.190794, 93.712053
7.192919, 93.717833
7.196848, 93.725264
7.202482, 93.728880
7.202475, 93.730211
7.197815, 93.731014
7.191685, 93.730192
7.192015, 93.732334
7.194942, 93.739923
7.198734, 93.743540
7.202873, 93.746683
7.205006, 93.747181
7.204048, 93.744043
7.199421, 93.739437
7.198132, 93.734962
7.201290, 93.734657
7.206074, 93.736149
7.209385, 93.736807
7.212690, 93.738773
7.216824, 93.742418
7.217304, 93.745396
7.215630, 93.748186
7.212152, 93.748678
7.209793, 93.751478
7.210106, 93.755924
7.212564, 93.758884
7.211378, 93.763317
7.207722, 93.766613
7.202545, 93.769915
7.200871, 93.772528
7.203176, 93.773872
7.206514, 93.774525
7.209839, 93.773039
7.211693, 93.767292
7.214682, 93.765471
7.216312, 93.769602
7.217436, 93.775040
7.216242, 93.780640
7.212246, 93.784101
7.206102, 93.785246
7.205744, 93.788353
7.207731, 93.789845
7.210711, 93.789358
7.214216, 93.788372
7.214701, 93.790361
7.215494, 93.794302
7.217138, 93.796299
7.218489, 93.794655
7.220818, 93.793171
7.223125, 93.794661
7.225271, 93.796627
7.228254, 93.795483
7.231277, 93.791880
7.235762, 93.790398
7.237064, 93.796179
7.240337, 93.802774
7.239115, 93.809359
7.238276, 93.812313
7.240238, 93.817600
7.242666, 93.824692
7.244947, 93.830627
7.242785, 93.830940
7.239147, 93.831116
NaN, NaN
7.286858, 93.828848
7.284546, 93.827854
7.288376, 93.826210
7.289370, 93.827051
7.290668, 93.829857
7.290497, 93.831657
7.288679, 93.831656
7.286858, 93.828848
NaN, NaN
7.394817, 93.754026
7.394676, 93.751219
7.398838, 93.747437
7.400034, 93.745134
7.404999, 93.747782
7.405649, 93.749254
7.402121, 93.753384
7.399633, 93.754850
7.394817, 93.754026
NaN, NaN
7.399759, 93.676704
7.398106, 93.675701
7.398806, 93.672905
